gender_core,age_core,understand_contract,understand_contract,total_tenure_months,workplace_satis_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,factory_recommend_tf_core
0,22,1,0,2,3,1,2,3,0,2,1,3,2
0,21,1,0,4,3,1,3,3,0,3,1,3,1
0,18,1,0,4,2,1,2,3,0,2,1,3,1
1,18,1,0,1,4,1,4,4,0,3,1,4,1
1,36,1,0,2,4,0,4,4,1,4,1,4,1
1,28,1,0,11,3,0,3,4,0,4,1,3,1
1,55,1,0,18,4,0,3,4,0,4,1,2,2
1,42,1,0,1,4,0,2,4,0,4,1,2,2
1,40,0,1,1,2,0,2,4,0,4,1,4,2
1,31,1,0,2,4,1,4,4,0,4,1,3,2
1,23,1,0,2,4,0,2,2,0,1,1,0,2
1,47,1,0,36,3,0,3,4,0,2,1,0,1
1,26,1,0,2,2,0,3,4,0,4,1,0,1
1,49,1,0,2,2,0,2,3,0,4,1,0,0
1,28,0,1,1,3,1,3,2,0,3,1,0,2
1,30,1,0,1,3,0,2,3,0,4,1,0,1
0,19,1,0,27,4,1,3,4,0,4,1,0,1
0,28,1,0,35,4,1,3,4,1,4,1,0,1
0,61,1,0,1,3,0,4,4,0,4,1,3,1
0,76,1,0,60,4,0,2,2,0,4,1,0,2
0,21,1,0,1,4,1,3,3,1,3,1,0,1
0,38,1,0,66,2,0,3,3,0,3,1,0,0
0,19,1,0,2,3,1,3,3,0,4,1,0,1
0,31,1,0,27,4,0,2,2,0,4,1,0,0
0,24,1,0,1,3,1,3,4,0,4,1,0,2
0,18,1,0,4,4,1,3,4,0,4,1,0,2
0,24,1,0,1,4,0,1,3,0,4,1,0,2
0,57,1,0,1,4,0,4,4,0,4,1,0,2
0,38,1,0,1,4,0,2,4,1,4,1,0,1
0,20,1,0,1,4,1,3,4,0,4,1,0,1
0,32,1,0,27,2,0,4,3,0,1,1,3,1
0,38,1,0,120,3,0,2,3,1,4,1,0,1
0,42,1,0,34,2,0,2,2,0,3,1,2,0
0,38,1,0,50,2,0,2,0,0,0,1,4,1
0,18,1,0,20,4,0,2,4,0,4,0,0,1
0,20,1,0,7,4,0,2,0,0,0,1,4,1
1,46,1,0,48,4,0,2,4,1,4,1,4,1
1,28,1,0,48,4,0,2,4,0,4,1,4,0
0,45,1,0,36,4,1,2,4,0,4,1,3,0
1,44,1,0,12,4,0,2,1,0,4,1,4,0
1,47,1,0,72,3,0,2,4,1,4,1,0,0
1,36,1,0,6,3,1,2,2,0,2,1,4,0
1,28,1,0,96,4,0,4,4,0,4,1,1,2
1,25,1,0,36,3,1,2,4,0,2,1,0,2
1,43,1,0,12,4,1,2,4,0,4,1,0,2
1,27,1,0,12,4,1,4,4,0,4,1,2,1
1,28,1,0,72,3,0,2,4,0,0,1,0,1
0,32,1,0,48,2,0,2,3,0,0,1,4,0
1,36,1,0,25,4,0,4,2,0,2,1,0,2
0,42,1,0,78,4,1,2,4,0,4,1,2,2
0,38,1,0,41,2,0,3,0,0,1,0,4,0
0,24,1,0,7,3,0,3,4,0,1,1,3,1
0,33,1,0,60,4,0,2,4,0,4,1,0,0
0,41,1,0,43,3,0,2,4,0,3,1,1,2
0,36,1,0,2,4,0,3,4,0,4,1,0,2
0,19,1,0,12,2,1,2,4,0,1,1,3,1
0,23,1,0,72,3,0,2,4,0,4,1,0,1
0,40,1,0,84,4,1,3,4,0,4,1,0,1
0,18,1,0,4,4,1,4,4,0,4,1,0,2
0,29,1,0,84,4,0,4,4,0,4,1,0,1
0,25,1,0,1,4,1,4,4,0,4,1,0,1
0,22,1,0,4,4,0,3,3,0,0,1,3,2
0,18,1,0,2,4,1,4,4,0,4,1,0,2
0,19,1,0,2,2,0,2,3,0,0,1,3,1
0,47,1,0,24,4,0,2,4,0,2,1,0,1
0,20,1,0,36,3,0,3,3,0,4,1,3,1
1,49,1,0,96,3,0,3,3,0,4,1,4,2
0,36,1,0,24,4,1,2,3,0,3,1,3,0
0,21,1,0,3,3,1,3,4,0,4,1,0,1
0,44,1,0,35,4,1,3,4,0,4,1,2,2
0,19,1,0,11,4,1,3,4,0,4,1,0,2
0,51,1,0,23,4,0,2,4,0,4,1,0,2
1,28,1,0,3,4,1,3,4,0,4,1,0,2
1,26,1,0,1,4,0,4,4,0,4,1,0,1
1,41,1,0,1,4,1,3,4,0,4,1,1,0
1,46,1,0,120,0,0,1,1,1,4,1,4,0
1,19,1,0,1,4,1,4,4,1,4,1,0,2
0,62,1,0,48,4,0,4,3,1,4,1,2,1
1,28,1,0,48,2,0,2,4,0,4,1,3,1
1,19,1,0,19,4,0,2,4,0,4,1,0,1
0,36,1,0,72,4,0,2,4,1,4,1,3,2
0,23,1,0,1,4,0,3,4,0,4,1,3,1
1,23,1,0,1,3,0,3,4,0,4,1,0,2
1,51,1,0,1,4,0,4,3,0,1,1,0,2
1,44,1,0,62,2,0,2,4,0,0,1,3,0
1,44,1,0,2,4,0,4,4,0,4,1,0,2
1,54,1,0,56,2,1,2,2,1,2,0,4,1
1,31,1,0,24,4,0,3,2,0,1,1,2,0
0,21,1,0,1,4,0,3,4,0,4,0,1,1
0,35,1,0,25,4,1,4,4,0,4,1,0,2
0,43,1,0,48,3,0,2,4,0,3,1,3,0
0,58,1,0,27,2,0,2,4,0,4,0,4,0
0,21,1,0,34,2,0,2,3,0,0,0,4,0
0,21,1,0,24,2,0,2,3,0,4,0,0,1
0,19,1,0,6,2,0,2,3,0,3,0,4,0
0,43,1,0,120,4,0,2,4,0,4,1,0,0
0,19,1,0,12,2,0,2,4,0,2,1,0,1
1,58,1,0,12,2,0,2,3,0,3,1,4,0
1,42,1,0,39,4,0,2,4,0,1,1,4,2
1,25,1,0,14,4,0,2,4,1,1,1,3,1
1,28,1,0,48,2,1,2,2,0,2,1,3,1
1,49,1,0,20,4,0,2,1,0,0,1,4,0
1,35,1,0,36,2,0,1,0,0,0,1,3,0
1,23,1,0,13,4,1,3,4,0,0,1,0,1
1,39,1,0,48,4,0,2,4,1,4,1,0,0
