Response_ID,worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,factory_recommend_tf_score
R_07JbBXwvBB9x5zX,Permanent,Yes,66,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1mmFtXZh6e4kR8M,Seasonal OR temporary,Yes,5,Somewhat Satisfied,Yes,No,Very good,Strongly agree,Yes,Somewhat agree,Yes,Agree nor disagree,1
R_10UdSiXnpDVvk0k,Seasonal OR temporary,Yes,10,Somewhat Satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Somewhat agree,Yes,Strongly disagree,1
R_T14JVxVY3hLzv69,Permanent,Yes,8,Very satisfied,Yes,No,Very good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,1
R_2uDtLS9tUBZKYGS,Seasonal OR temporary,No,1,Somewhat dissatisfied,No,No,Somewhat bad,Somewhat disagree,No,Agree nor disagree,Don't know,Strongly disagree,0
R_1kLnQc6FmDlkbi0,Permanent,Don't know,123,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_27WOv1vhaeqpxeT,Permanent,Yes,16,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2s7PbjY2OmwP1zK,Permanent,No,8,Somewhat Satisfied,Don't know,No,Neither good or bad,Agree nor disagree,No,Somewhat agree,Yes,Strongly disagree,1
R_2PAugWfX3Juh16h,Permanent,Yes,74,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3Q0nLxXCk4spCAs,Don't know,Yes,2,Somewhat Satisfied,Yes,No,Very good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_10YruvEVjshLta7,Permanent,Yes,48,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_ylrV1zju2qV6y9r,Seasonal OR temporary,No,24,Somewhat dissatisfied,No,No,Neither good or bad,Somewhat disagree,No,Strongly disagree,Don't know,Strongly agree,1
R_3n5evj6H49riOlj,Permanent,Yes,12,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2an331KKUDlVX8T,Permanent,Yes,5,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_20MPFKlt7nKuK1P,Permanent,Yes,16,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,1
R_22FfgZ2c5Qyt8XM,Seasonal OR temporary,Yes,2,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Somewhat agree,1
R_1kS8qOvn9EyOMsS,Permanent,Yes,30,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1ohjrTVSYo1AhqX,Permanent,Yes,11,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1JDSZCaobS7Axhb,Permanent,Yes,66,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Don't know,Strongly disagree,1
R_31ZrffTPIOf6V74,Permanent,Yes,10,Very satisfied,Yes,Don't know,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Agree nor disagree,1
R_2ric8SZL7ngSG4x,Permanent,Yes,10,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3fGKouZSQ8z5BCB,Seasonal OR temporary,Yes,36,Neither satisfied nor dissatisfied,Don't know,No,Somewhat good,Agree nor disagree,Yes,Agree nor disagree,Yes,Strongly disagree,1
R_1jUsWC7RlOPTTV0,Permanent,Yes,36,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_cU78wbIvJ6E7UhH,Permanent,Yes,40,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_RsP8FUce6bPYtvb,Permanent,Yes,11,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3HODN9dYIrfrbkV,Permanent,Yes,36,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_yQLqrbTdrUwZVxT,Permanent,Yes,30,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2Yr1dNFivgk5xjw,Permanent,Yes,37,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,1
R_NWsXPxRYLgaHyN3,Seasonal OR temporary,Yes,9,Somewhat Satisfied,Yes,Yes,Neither good or bad,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,1
R_xEqDNOLiEXbjbHz,Permanent,Yes,22,Very satisfied,Yes,No,Very good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1rHQPbnkRZ2YmCu,Permanent,Yes,9,Very satisfied,Yes,No,Neither good or bad,Strongly agree,Yes,Strongly Agree,Yes,Agree nor disagree,1
R_brrjwQK6gUoj9i9,Permanent,Yes,8,Very satisfied,Yes,Don't know,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_Ahtd32nJFpk07uN,Permanent,Yes,72,Somewhat Satisfied,Yes,No,Neither good or bad,Agree nor disagree,No,Strongly Agree,Yes,Strongly disagree,0
R_DJlarxyehOlSwyl,Seasonal OR temporary,Yes,12,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1guTwTsg9llcClH,Permanent,Don't know,24,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_Zk4TG36ArjqpK25,Permanent,No,132,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1gpSJIOfHPYySST,Permanent,Yes,109,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_bkYsu6oNOZVoc8x,Permanent,Yes,48,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Somewhat agree,Yes,Somewhat disagree,1
R_AaDYWxdX0FWnIPv,Permanent,Yes,8,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1OjfTkFvcNhNpiQ,Permanent,Yes,46,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1d05Xc1FDHIW0BT,Seasonal OR temporary,Yes,2,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3JlxDHmZVDhmKwZ,Permanent,Yes,171,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Somewhat agree,Yes,Strongly disagree,1
R_2XhpIpEDlY0bndU,Permanent,Yes,24,Neither satisfied nor dissatisfied,No,No,Neither good or bad,Strongly agree,No,Strongly Agree,No,Strongly disagree,0
