Response ID,gender_core,age_core,entity_tenure - Months,conditions_rate_core,safety_core,pressure_to_work_core,factory_recommend_tf_core
R_3Rw4V7P6K5b22tJ,1,58,44,5,5,1,1
R_2YtFfpB8BUCztlB,1,42,132,4,5,1,1
R_2Qn8X5jezS5qCjG,0,23,2,4,3,1,1
R_vrE4THOejzXVAYh,0,22,24,3,3,4,0
R_3dH88hSuAqxEvs0,1,29,2,5,5,1,1
R_OptH8DFIFXGQRA5,1,33,24,4,5,1,1
R_3h9mhHnWssLr9Jp,0,28,1,4,5,1,1
R_3fZ7y6dDgyKIPfG,0,39,54,5,5,4,1
R_1plB7jz8v4OxjVE,1,24,1,4,5,2,1
R_27kxpXZfi0acfHf,0,20,9,4,5,1,1
R_1DI3CpbQD8EFYZ5,0,20,1,4,5,1,1
R_cuc2Zdp0iJP4N33,1,23,8,5,5,1,1
R_2q2g49bBUWZMH5V,0,31,1,5,5,1,1
R_2fqVDMQnbdeHPTq,0,21,3,4,5,1,1
R_3O2KipgUUrzqM4b,1,25,2,5,5,1,1
R_iURIYmjiEXnra7D,1,37,27,1,1,1,1
R_gJUNyoOkh8UJ1xS,0,24,5,4,4,1,1
R_jajgRSqXq8pXo11,0,34,9,2,4,1,1
R_6ABFmYJgdAGkayy,0,42,5,3,4,4,1
R_ndma0hljJi8Tonf,0,39,48,3,3,5,1
R_1CikL5RCkMZSrVF,0,49,59,5,5,1,1
R_hY16MFmcGU5TPFy,0,30,36,4,5,1,1
R_kkwxirUsPO2ZJbt,0,21,5,4,5,1,1
R_nlzCxGJ9Qf6DWu4,0,43,112,5,5,1,1
R_cgSroznGyG3DRiG,1,24,96,3,4,2,1
R_d57TK5sAhLyVJL5,1,35,12,4,4,2,1
R_62arKkQbXOYHMtj,0,27,3,4,4,5,1
R_jgTsJlS9G7gIYnK,0,29,24,3,5,1,1
R_kEQ3OoJLaegNotR,0,22,24,3,3,1,1
R_jNsoxc1sNnbkDiz,0,56,42,3,4,1,1
R_8QPsrABemGZaym7,0,24,19,3,4,2,1
R_iq2EfuzGceQhggj,0,42,17,4,4,1,1
R_n61oL4Pfvl4FF9U,0,38,72,3,4,4,1
R_2Sh6LCbPLlu4ARS,1,39,120,3,4,1,1
R_kpEwx1EK2weGiHQ,0,41,1,4,5,2,1
R_3J5TJEdQvaOJkeW,1,23,2,5,5,5,1
R_htcFg1t1jrfCfqc,1,41,168,3,4,2,1
R_h5Bp24xge94wptH,0,19,7,5,5,1,1
R_2vmDuTkCZayc7iM,0,29,96,3,5,1,1
R_eia3dxrL8YX6AUp,0,40,8,3,1,1,1
R_oUxBmP4yumVq8fM,1,29,16,3,4,4,1
R_kl1Dg6kmgs0qg9C,0,26,12,3,4,5,0
R_5RoC2Z6adYOfxOB,1,29,13,3,1,1,1
R_19NYhMFxIO3dOok,1,49,42,3,5,1,1
R_4348tfVlwDJRCKp,0,41,264,3,3,1,
R_oURxM1KgUAGvnXf,1,25,3,3,3,2,1
R_mT8zkPEtfWE2tTZ,1,21,6,4,5,1,1
R_iNdVKL33uuZ4AAx,1,25,0,5,5,3,1
R_ca49rP2fbFDimKF,0,25,108,3,3,3,1
R_ggfZPdyHpMgycYk,1,43,2,5,5,1,1
R_49kyWWUw9Pv92g8,1,22,24,3,5,1,1
R_0ftHVC4Nx0Ml6yu,1,19,9,5,5,1,1
R_8Q1RlEP3a4kN85q,0,27,5,5,5,1,1
R_od85tTANifge3vf,1,28,10,5,4,5,1
R_f2KDiW2MEATUdwr,1,24,12,5,5,1,1
R_fd6zyMR3KqvwxNz,1,30,11,3,5,1,1
R_erRhQ20kqQ7wicn,1,19,9,5,5,1,1
R_9b531ARyi0IUSHN,1,39,13,3,5,1,1
R_op4rHu1tpw3OEDt,1,19,8,4,5,1,1
R_jRwlKnJiUJI42Sc,1,34,109,5,5,1,1
R_jAGr3IKPXZwelIA,1,25,12,5,5,1,1
R_1CiSnwKf8LsTtN2,1,29,24,5,5,1,1
R_g6HJjJoKFdF8d2u,1,37,4,3,5,1,1
R_2lXm0fuPhfhqdqB,1,39,17,3,5,1,1
