Response_ID,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,return_next_season_core,factory_recommend_tf_score
R_AaDYWxdX0FWnIPv,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_1OjfTkFvcNhNpiQ,Very satisfied,Yes,Don't know,Very good,Yes,1
R_1d05Xc1FDHIW0BT,Very satisfied,Yes,Yes,Very good,Yes,1
R_3JlxDHmZVDhmKwZ,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_2XhpIpEDlY0bndU,Neither satisfied nor dissatisfied,No,No,Neither good or bad,No,0
R_9ylDxTVmcZIfSwN,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_1PbeaO2DUsC2gXY,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_3nVmbM2bazwda6W,Very satisfied,Yes,Don't know,Very good,Yes,1
R_2tAnxopGDzWqZN3,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_3IaFjsHyvK47hQp,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_272LMthElD6XJm5,Somewhat Satisfied,Yes,No,Somewhat good,Yes,0
R_1eKvDAoH0du6QlR,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_1OH2LKMBjT174wL,Very satisfied,Yes,Yes,Very good,Yes,1
R_2QEAsNfoRePxbMm,Very satisfied,Yes,No,Somewhat good,Yes,1
R_31dvQnI6T08vM7X,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_23VNnmLlAamKKoR,Very satisfied,Yes,No,Very good,Yes,1
R_2v7ZCokgLGRbTNC,Very satisfied,Yes,Yes,Very good,Yes,1
R_22YpQ01zU3O2t3b,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_2UbBpsSwCqt9hM7,Very satisfied,Yes,No,Very good,Yes,0
R_xnK7X3DNA7LH3ln,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_1rCuTSORNIkKljV,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_3suXcqzqZCGpbiK,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_27HA1jq1rR7Jylq,Very satisfied,Yes,Yes,Very good,Yes,1
R_1gnl3OukVsdp36N,Very satisfied,Yes,No,Somewhat good,Yes,1
R_2fHttf8kbtVfJa8,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_33yxsdj6EpaNU7o,Very satisfied,Yes,No,Very good,Yes,1
R_3HtVtBZfsLTkoYO,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,No,1
R_1oI6kcPMrEyn4eM,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_BApROaOoApfVqBb,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_bkI97T2tvvtnOtH,Very satisfied,Yes,No,Neither good or bad,Don't know,0
R_798MZLM60U69gpb,Very satisfied,Yes,Yes,Very good,Yes,1
R_2tyutnfhXbqJzHg,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_1HerQvzgnxd6ybV,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Don't know,1
R_2EmKjFfetjptUGe,Very satisfied,Yes,Yes,Very good,Yes,1
R_3qEywXXYSVcJKeg,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Yes,1
R_2SwuehLDrVgW6Gn,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_2rZNcxM8FHIUgwS,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_78LkSBuNsodS2Z3,Somewhat Satisfied,No,No,Neither good or bad,Yes,1
R_1kM23e7THzeHihL,Very satisfied,Yes,Yes,Neither good or bad,Yes,1
R_2qDADBLWMVe6ro0,Very satisfied,Yes,No,Very good,Yes,1
R_1dczTEUX5awP6g4,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_R3xvAjNtJ3yexsl,Very satisfied,Yes,Yes,Very good,Yes,1
R_30isOmiW6uxmyK8,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_3PyI1oJ0cknwcsS,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_WkeRUJiJm9aEkwx,Very satisfied,Yes,Yes,Very good,Yes,1
R_A1LtjjeVmi4iUh3,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_1PcPF1wf7XOaz43,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_3PRCQFEjnNloJok,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_3Jen2HsU9b16P5P,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_3n7d8O9jhmGrSyO,Very satisfied,Yes,Yes,Very good,Yes,1
R_29hKHWAot2uwVEd,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_uqg3Xj0QRBOEVJD,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_VPTCwh8LUxLHehz,Very satisfied,Yes,Yes,Very good,Yes,1
R_3Rw4V7P6K5b22tJ,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_2YtFfpB8BUCztlB,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_2Qn8X5jezS5qCjG,Somewhat Satisfied,Don't know,Yes,Somewhat good,Yes,1
R_vrE4THOejzXVAYh,Somewhat dissatisfied,No,No,Neither good or bad,Don't know,0
R_3dH88hSuAqxEvs0,Very satisfied,Yes,No,Very good,Yes,1
R_OptH8DFIFXGQRA5,Somewhat Satisfied,Yes,No,Somewhat good,Yes,0
R_3h9mhHnWssLr9Jp,Very satisfied,Yes,No,Somewhat good,Yes,1
R_3fZ7y6dDgyKIPfG,Neither satisfied nor dissatisfied,Yes,No,Very good,Yes,1
R_1plB7jz8v4OxjVE,Somewhat Satisfied,Don't know,No,Somewhat good,Yes,0
R_27kxpXZfi0acfHf,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_1DI3CpbQD8EFYZ5,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_cuc2Zdp0iJP4N33,Very satisfied,Yes,Yes,Very good,No,1
R_2q2g49bBUWZMH5V,Very satisfied,Yes,Yes,Very good,Yes,1
R_2fqVDMQnbdeHPTq,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_3O2KipgUUrzqM4b,Very satisfied,Yes,Yes,Very good,Yes,1
R_iURIYmjiEXnra7D,Neither satisfied nor dissatisfied,No,No,Very bad,Yes,0
R_gJUNyoOkh8UJ1xS,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_jajgRSqXq8pXo11,Somewhat Satisfied,Yes,No,Somewhat bad,Yes,1
R_6ABFmYJgdAGkayy,Somewhat Satisfied,Yes,No,Neither good or bad,No,1
R_ndma0hljJi8Tonf,Somewhat dissatisfied,No,No,Neither good or bad,Don't know,0
R_1CikL5RCkMZSrVF,Very satisfied,Yes,No,Very good,Yes,1
R_hY16MFmcGU5TPFy,Very satisfied,Yes,No,Somewhat good,Yes,1
R_kkwxirUsPO2ZJbt,Very satisfied,Yes,Yes,Somewhat good,Yes,0
R_nlzCxGJ9Qf6DWu4,Very satisfied,Yes,No,Very good,Refused,0
R_cgSroznGyG3DRiG,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Yes,1
R_d57TK5sAhLyVJL5,Somewhat Satisfied,Yes,Yes,Somewhat good,Don't know,1
R_62arKkQbXOYHMtj,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_jgTsJlS9G7gIYnK,Somewhat Satisfied,Yes,Yes,Neither good or bad,Yes,1
R_kEQ3OoJLaegNotR,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Yes,1
R_jNsoxc1sNnbkDiz,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_8QPsrABemGZaym7,Somewhat Satisfied,Yes,Yes,Neither good or bad,Yes,1
