Response_ID,gender_core,age_core,education_level_core,worker_type_core,understand_contract,entity_tenure_total_months,safety_core,accident_last_year,covid_safety_measures_core,pressure_to_work_core
R_3n5evj6H49riOlj,Woman,33,High School,Permanent,Yes,12,Strongly agree,No,Strongly Agree,Strongly disagree
R_2an331KKUDlVX8T,Man,19,Middle School,Permanent,Yes,5,Strongly agree,No,Strongly Agree,Strongly disagree
R_20MPFKlt7nKuK1P,Man,19,Middle School,Permanent,Yes,16,Strongly agree,No,Strongly Agree,Strongly agree
R_22FfgZ2c5Qyt8XM,Woman,58,Elementary School,Seasonal OR temporary,Yes,2,Strongly agree,No,Strongly Agree,Somewhat agree
R_1kS8qOvn9EyOMsS,Man,33,Middle School,Permanent,Yes,30,Strongly agree,No,Strongly Agree,Strongly disagree
R_1ohjrTVSYo1AhqX,Woman,22,Middle School,Permanent,Yes,11,Strongly agree,No,Strongly Agree,Strongly disagree
R_1JDSZCaobS7Axhb,Woman,36,Middle School,Permanent,Yes,66,Strongly agree,No,Strongly Agree,Strongly disagree
R_31ZrffTPIOf6V74,Man,24,Middle School,Permanent,Yes,10,Strongly agree,No,Strongly Agree,Agree nor disagree
R_2ric8SZL7ngSG4x,Man,21,High School,Permanent,Yes,10,Strongly agree,No,Strongly Agree,Strongly disagree
R_3fGKouZSQ8z5BCB,Man,28,Middle School,Seasonal OR temporary,Yes,36,Agree nor disagree,Yes,Agree nor disagree,Strongly disagree
R_1jUsWC7RlOPTTV0,Man,31,Elementary School,Permanent,Yes,36,Strongly agree,No,Strongly Agree,Strongly disagree
R_cU78wbIvJ6E7UhH,Man,32,Middle School,Permanent,Yes,40,Strongly agree,No,Strongly Agree,Strongly disagree
R_RsP8FUce6bPYtvb,Man,21,Middle School,Permanent,Yes,11,Strongly agree,No,Strongly Agree,Strongly disagree
R_3HODN9dYIrfrbkV,Man,59,No school,Permanent,Yes,36,Strongly agree,No,Strongly Agree,Strongly disagree
R_yQLqrbTdrUwZVxT,Man,32,Middle School,Permanent,Yes,30,Strongly agree,No,Strongly Agree,Strongly disagree
