Response_ID,gender_core,age_core,education_level_core,worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,management_complaint_treatment_core,leadership_feedback_core,factory_recommend_tf_score
R_24MFLmU09OXlhd7,Woman,29,Middle School,Permanent,Yes,22,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_C7xQyDwTVrKQ62Z,Woman,38,Middle School,Permanent,Yes,24,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2AXecxvzOSvLRWz,Man,46,Elementary School,Seasonal OR temporary,Yes,3,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_33xoLVbjaNqqfex,Man,52,Elementary School,Permanent,Yes,36,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2Qg3nPbdaWQuHrz,Man,46,Elementary School,Permanent,Yes,48,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3LYYEkmHv3ex4XJ,Man,39,Elementary School,Seasonal OR temporary,Yes,33,Very satisfied,Yes,No,Very good,Somewhat agree,No,Strongly Agree,Yes,Somewhat disagree,Yes,No,1
R_1MNdXVBsKCEXzmg,Woman,22,Middle School,Permanent,Yes,18,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_3syvz34lncNru1l,Woman,25,High School,Permanent,Yes,12,Somewhat Satisfied,Yes,No,Neither good or bad,Agree nor disagree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",Yes,1
R_A4ActswGkmrRBDz,Woman,37,No school,Permanent,Yes,36,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_1IblsT9Qi5EXdMB,Woman,31,Middle School,Permanent,Yes,36,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,Yes,1
