worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,injury_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,factory_recommend_tf_core
Permanent,Yes,66,Very satisfied,Yes,Yes,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Seasonal OR temporary,Yes,5,Somewhat Satisfied,Yes,No,Very good,Strongly agree,Yes,Never sustained an injury while at this job,Somewhat agree,Yes,Agree nor disagree,10
Seasonal OR temporary,Yes,10,Somewhat Satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,,Somewhat agree,Yes,Strongly disagree,9
Permanent,Yes,8,Very satisfied,Yes,No,Very good,Strongly agree,Yes,1 occasion,Strongly Agree,Yes,Strongly disagree,10
Seasonal OR temporary,No,1,Somewhat dissatisfied,No,No,Somewhat bad,Somewhat disagree,No,,Agree nor disagree,Don't know,Strongly disagree,0
Permanent,Don't know,123,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Permanent,Yes,16,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Permanent,No,8,Somewhat Satisfied,Don't know,No,Neither good or bad,Agree nor disagree,No,,Somewhat agree,Yes,Strongly disagree,7
Permanent,Yes,74,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,8
Don't know,Yes,2,Somewhat Satisfied,Yes,No,Very good,Somewhat agree,No,,Strongly Agree,Yes,Strongly disagree,9
Permanent,Yes,48,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,9
Seasonal OR temporary,No,24,Somewhat dissatisfied,No,No,Neither good or bad,Somewhat disagree,No,,Strongly disagree,Don't know,Strongly agree,6
Permanent,Yes,12,Very satisfied,Yes,Yes,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,9
